2013-10-22 14:25:35,238 INFO  [org.jboss.web.tomcat.service.TomcatDeployer] deploy, ctxPath=/conector-pge, warUrl=.../deploy/agesic/connector-pge-ear.ear/connector-pge-web.war/
2013-10-22 14:25:38,024 WARN  [org.apache.myfaces.component.html.util.ExtensionsFilter] Please adjust your web.xml to use org.apache.myfaces.webapp.filter.ExtensionsFilter
2013-10-22 14:25:38,039 INFO  [org.ajax4jsf.cache.CacheManager] Selected [org.ajax4jsf.cache.LRUMapCacheFactory] cache factory
2013-10-22 14:25:38,041 INFO  [org.ajax4jsf.cache.LRUMapCacheFactory] Creating LRUMap cache instance using parameters: {com.sun.faces.injectionProvider=org.jboss.web.jsf.integration.injection.JBossInjectionProvider, facelets.REFRESH_PERIOD=2, org.ajax4jsf.SKIN=classic, javax.faces.DEFAULT_SUFFIX=.xhtml}
2013-10-22 14:25:38,041 INFO  [org.ajax4jsf.cache.LRUMapCacheFactory] Creating LRUMap cache instance of default capacity
2013-10-22 14:25:38,056 INFO  [org.ajax4jsf.cache.CacheManager] Selected [org.ajax4jsf.cache.LRUMapCacheFactory] cache factory
2013-10-22 14:25:38,056 INFO  [org.ajax4jsf.cache.LRUMapCacheFactory] Creating LRUMap cache instance using parameters: {com.sun.faces.injectionProvider=org.jboss.web.jsf.integration.injection.JBossInjectionProvider, facelets.REFRESH_PERIOD=2, org.ajax4jsf.SKIN=classic, javax.faces.DEFAULT_SUFFIX=.xhtml}
2013-10-22 14:25:38,056 INFO  [org.ajax4jsf.cache.LRUMapCacheFactory] Creating LRUMap cache instance of default capacity
2013-10-22 14:25:38,069 INFO  [org.jboss.ejb3.JmxKernelAbstraction] creating wrapper delegate for: org.jboss.ejb3.entity.PersistenceUnitDeployment
2013-10-22 14:25:38,071 INFO  [org.jboss.ejb3.JmxKernelAbstraction] installing MBean: persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge with dependencies:
2013-10-22 14:25:38,071 INFO  [org.jboss.ejb3.JmxKernelAbstraction] 	jboss.jca:name=ConnectorPGEDS,service=DataSourceBinding
2013-10-22 14:25:38,072 INFO  [org.jboss.ejb3.entity.PersistenceUnitDeployment] Starting persistence unit persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 14:25:38,103 INFO  [org.hibernate.cfg.Configuration] Reading mappings from resource : META-INF/orm.xml
2013-10-22 14:25:38,130 INFO  [org.hibernate.ejb.Ejb3Configuration] [PersistenceUnit: connector-pge] META-INF/orm.xml found
2013-10-22 14:25:38,173 INFO  [org.hibernate.cfg.AnnotationBinder] Binding entity from annotated class: uy.gub.agesic.connector.entity.Connector
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.all => select c from Connector c Order By c.name, c.type
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.allbytype => select c from Connector c where c.type = :type Order By c.name
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.allbytypeAndtag => select c from Connector c where c.type = :type and UPPER(c.tag) LIKE UPPER(:tag) Order By c.name
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.bypath => select c from Connector c where lower(c.path) = lower(:path) and c.type = :type
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.byname => select c from Connector c where lower(c.name) = lower(:name) and c.type = :type
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: connector.byAssociatedConnector => select c from Connector c where c.connectorAssociated.id = :id and c.type = :type
2013-10-22 14:25:38,174 INFO  [org.hibernate.cfg.annotations.EntityBinder] Bind entity uy.gub.agesic.connector.entity.Connector on table CONNECTOR
2013-10-22 14:25:38,195 INFO  [org.hibernate.cfg.AnnotationBinder] Binding entity from annotated class: uy.gub.agesic.connector.entity.RoleOperation
2013-10-22 14:25:38,195 INFO  [org.hibernate.cfg.annotations.EntityBinder] Bind entity uy.gub.agesic.connector.entity.RoleOperation on table ROLE_OPERATION
2013-10-22 14:25:38,197 INFO  [org.hibernate.cfg.AnnotationBinder] Binding entity from annotated class: uy.gub.agesic.connector.entity.GlobalConfiguration
2013-10-22 14:25:38,198 INFO  [org.hibernate.cfg.annotations.QueryBinder] Binding Named query: globalConfiguration.all => select c from GlobalConfiguration c where c.type = :type
2013-10-22 14:25:38,198 INFO  [org.hibernate.cfg.annotations.EntityBinder] Bind entity uy.gub.agesic.connector.entity.GlobalConfiguration on table GLOBAL_CONFIGURATION
2013-10-22 14:25:38,224 INFO  [org.hibernate.connection.ConnectionProviderFactory] Initializing connection provider: org.hibernate.ejb.connection.InjectedDataSourceConnectionProvider
2013-10-22 14:25:38,227 INFO  [org.hibernate.ejb.connection.InjectedDataSourceConnectionProvider] Using provided datasource
2013-10-22 14:25:38,245 INFO  [org.hibernate.cfg.SettingsFactory] RDBMS: Apache Derby, version: 10.5.3.0 - (802917)
2013-10-22 14:25:38,248 INFO  [org.hibernate.cfg.SettingsFactory] JDBC driver: Apache Derby Embedded JDBC Driver, version: 10.5.3.0 - (802917)
2013-10-22 14:25:38,270 INFO  [org.hibernate.dialect.Dialect] Using dialect: org.hibernate.dialect.DerbyDialect
2013-10-22 14:25:38,277 INFO  [org.hibernate.transaction.TransactionFactoryFactory] Transaction strategy: org.hibernate.ejb.transaction.JoinableCMTTransactionFactory
2013-10-22 14:25:38,281 INFO  [org.hibernate.transaction.TransactionManagerLookupFactory] instantiating TransactionManagerLookup: org.hibernate.transaction.JBossTransactionManagerLookup
2013-10-22 14:25:38,285 INFO  [org.hibernate.transaction.TransactionManagerLookupFactory] instantiated TransactionManagerLookup
2013-10-22 14:25:38,285 INFO  [org.hibernate.cfg.SettingsFactory] Automatic flush during beforeCompletion(): disabled
2013-10-22 14:25:38,285 INFO  [org.hibernate.cfg.SettingsFactory] Automatic session close at end of transaction: disabled
2013-10-22 14:25:38,285 INFO  [org.hibernate.cfg.SettingsFactory] Scrollable result sets: enabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] JDBC3 getGeneratedKeys(): disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Connection release mode: auto
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Default batch fetch size: 1
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Generate SQL with comments: disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL updates by primary key: disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL inserts for batching: disabled
